asset_ref,taxonomy,lon,lat,probability(structural-no_damage),probability(structural-slight),probability(structural-moderate),probability(structural-extensive),probability(structural-complete)
CA-T6097154303-PC-C2,C2L-PC,-1.23E+02,3.86E+01,0.1158,0.1963,0.0871,0.064,0.54
CA-T6097154303-PC-C3,C3L-PC,-1.23E+02,3.86E+01,0.0684,0.1233,0.1719,0.1705,0.47
CA-T6097154303-PC-MH,MH-PC,-1.23E+02,3.86E+01,0.0631,0.1957,0.1455,0.0195,0.58
CA-T6097154303-PC-RM,RM1L-PC,-1.23E+02,3.86E+01,0.0016,0.1706,0.0355,0.0686,0.72
CA-T6097154303-PC-S3,S3-PC,-1.23E+02,3.86E+01,0.0274,0.0959,0.1608,0.1694,0.55
CA-T6097154303-PC-S4,S4L-PC,-1.23E+02,3.86E+01,0.0796,0.0407,0.1269,0.1491,0.6
CA-T6097154303-PC-S5,S5L-PC,-1.23E+02,3.86E+01,0.0021,0.0343,0.1742,0.0057,0.78
CA-T6097154303-PC-W1,W1-PC,-1.23E+02,3.86E+01,0.0543,0.0054,0.0586,0.0028,0.88
CA-T6097154304-PC-C2,C2L-PC,-1.23E+02,3.86E+01,0.2346,0.0108,0.14,0.0901,0.52
CA-T6097154304-PC-C3,C3L-PC,-1.23E+02,3.86E+01,0.053,0.0505,0.1406,0.1364,0.62
CA-T6097154304-PC-MH,MH-PC,-1.23E+02,3.86E+01,0.2271,0.1398,0.0076,0.1725,0.45
CA-T6097154304-PC-RM,RM1L-PC,-1.23E+02,3.86E+01,0.0975,0.1198,0.0514,0.0553,0.68
CA-T6097154304-PC-S2,S2L-PC,-1.23E+02,3.86E+01,0.1448,0.0775,0.1962,0.1888,0.39
CA-T6097154304-PC-S3,S3-PC,-1.23E+02,3.86E+01,0.0355,0.0197,0.0271,0.1387,0.78
CA-T6097154304-PC-S4,S4L-PC,-1.23E+02,3.86E+01,0.0395,0.186,0.0687,0.0367,0.67
CA-T6097154304-PC-S5,S5L-PC,-1.23E+02,3.86E+01,0.2067,0.092,0.0862,0.0211,0.59
